name,ring,quadrant,isNew,description
UFT,Adopt,Tools,FALSE,
Leapwork,Assess,Tools,TRUE,"<p>Leapwork is used within Gall and AH for testing Oracle applications. A license is available. We have to decide if we want to use this tool at Etos</p>"
Selenium,Adopt,Tools,FALSE,"<p>A tool to use browser functionality in automated tests</p>"
Jenkins,Adopt,Tools,FALSE,"Tool where the CICD job pipelines are configured and deployment can be triggered from it"
OpenShift,Adopt,Platforms,FALSE,"Its a platform where jenkins is been configured"
Kubernetes,Adopt,Techniques,FALSE,"Tool used to build and implement Jenkins"
SonarQube,Adopt,Tools,FALSE,"Code quality checker"
Java,Adopt,languages-and-frameworks,FALSE,"<p>Used as programming language for automated tests for Oracle systems in combination with Selenium.<p>"
JavaScript,Adopt,languages-and-frameworks,FALSE,"<p>Used as programming language for automated tests for web shop.<p>"
Nexus Artifact Repository,Adopt,Tools,FALSE,"Artifact repository which has backup code and existing packages"
Github,Adopt,Tools,TRUE,"Code Repository migrated from bitbucket"
Bitbucket,Adopt,Tools,FALSE,"Code Repository"
